"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Description","GeneSymbol","Synonym"
"Os01g0100400",142.247055719332,1.12954959571225,0.247007528007341,4.57293591342963,4.80937274305273e-06,1.76405371509426e-05,"","Os01g0100400",""
"Os01g0101150",47.9420271636174,2.57939355466788,0.37656563478795,6.84978478219442,7.39611737520782e-12,4.98920773769464e-11,"","P0672D08.16",""
"Os01g0102000",13.4860689822257,4.38590647936211,0.851623296346876,5.15005460533536,2.60410631629269e-07,1.11765013335846e-06,"","OsNPC6",""
"Os01g0102850",176.89046762209,1.66039487747853,0.202329418908735,8.20639374359835,2.27931080508123e-16,2.18132421079558e-15,"","Os01g0102850",""
"Os01g0102900",81290.6562254266,1.23416842229806,0.533975611845109,2.31128237867174,0.0208172626932202,0.0400395371642538,"","LIR1",""
"Os01g0103000",117.126013014561,3.09411269983904,0.405378483690663,7.63265152030146,2.29973913679308e-14,1.90189040695334e-13,"","P0455C04.24",""
"Os01g0103900",8.26686248213027,2.20600885023014,0.85972798683501,2.56593816184967,0.010289717058944,0.0213114034581171,"","Os01g0103900",""
"Os01g0105900",6323.183428573,2.81435848192238,0.185202722122106,15.196096740235,3.75328795761361e-52,1.78836953318832e-50,"","Os01g0105900",""
"Os01g0106500",268.591356359467,1.02461384481406,0.285600535455132,3.5875767641025,0.000333765485831714,0.000931063661613644,"","Os01g0106500",""
"Os01g0110200",38.5562293683552,3.14046684883712,0.613715108691646,5.1171411691854,3.1020145097991e-07,1.31855573013025e-06,"","OsAGP12",""
"Os01g0110400",1454.68451359644,2.01331716715962,0.254957049031855,7.896691520414,2.86404035320374e-15,2.52985125958392e-14,"","Os01g0110400",""
"Os01g0110500",37.9138210528226,1.44232769899019,0.347890364663043,4.14592597408435,3.38443164614452e-05,0.000110235392265706,"","Os01g0110500",""
"Os01g0118700",382.60762569283,1.14762752411336,0.291555468612793,3.93622362692668,8.27738453926424e-05,0.000254515707035679,"","Os01g0118700",""
"Os01g0119800",5.15981460243754,5.51695489721109,1.26058747667146,4.37649508606769,1.2060290906482e-05,4.18043967249447e-05,"","Os01g0119800",""
"Os01g0121000",8.55840704277612,4.74412403778142,1.12999051103326,4.19837511152496,2.68837048852217e-05,8.88959770373867e-05,"","Os01g0121000",""
"Os01g0121300",60.237778588057,1.08400017056877,0.24789385123674,4.37284008925878,1.2264055682546e-05,4.24572457239683e-05,"","Os01g0121300",""
"Os01g0124100",33.5098849902961,1.82584910552113,0.698068972002408,2.61557120965238,0.0089078344525046,0.0186851857627588,"","RBBI3-2",""
"Os01g0124650",15.310855557051,6.35106080194466,1.24824181302369,5.0880051731003,3.61849502752858e-07,1.52579052581817e-06,"","RBBI2-3",""
"Os01g0125800",121.613272753499,1.05090186070085,0.258132184630465,4.07117718468655,4.67761519690757e-05,0.000148987365643115,"","P0044F08.16",""
"Os01g0127400",512.433844963267,1.41205353486853,0.203825131611695,6.92776952333148,4.27527502459687e-12,2.94983261722185e-11,"","Os01g0127400",""
"Os01g0127500",3.65658515017251,5.02383517133661,1.47916931497706,3.39638952787127,0.000682811134782155,0.00180902603576748,"","Os01g0127500",""
"Os01g0127700",159.084427928292,1.10257499688481,0.284656555010642,3.87335186025698,0.000107348668409338,0.000324363165509533,"","OsRLCK19",""
