"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,0.00794705183978826,138,4306,58,0.0134695773339526,0.420289855072464,"GO:0046395","GO:BP","carboxylic acid catabolic process",15896,11315
"query_1",TRUE,0.00794705183978826,138,4306,58,0.0134695773339526,0.420289855072464,"GO:0016054","GO:BP","organic acid catabolic process",15896,4844
"query_1",TRUE,0.00829021736490102,180,4306,72,0.0167208546214584,0.4,"GO:0044282","GO:BP","small molecule catabolic process",15896,10247
"query_1",TRUE,0.0106671818432422,71,4306,34,0.00789595912679981,0.47887323943662,"GO:0046148","GO:BP","pigment biosynthetic process",15896,11133
"query_1",TRUE,0.0118183499974152,66,4306,32,0.00743149094287041,0.484848484848485,"GO:0000302","GO:BP","response to reactive oxygen species",15896,87
"query_1",TRUE,0.0118183499974152,225,4306,86,0.0199721319089642,0.382222222222222,"GO:0170039","GO:BP","proteinogenic amino acid metabolic process",15896,19048
"query_1",TRUE,0.0150993862276236,56,4306,28,0.00650255457501161,0.5,"GO:0062197","GO:BP","cellular response to chemical stress",15896,14755
"query_1",TRUE,0.0164009452089765,124,4306,52,0.0120761727821644,0.419354838709677,"GO:0072524","GO:BP","pyridine-containing compound metabolic process",15896,16248
"query_1",TRUE,0.0164821225793516,11,4306,9,0.0020901068276823,0.818181818181818,"GO:0071483","GO:BP","cellular response to blue light",15896,15578
"query_1",TRUE,0.0179242679924636,31,4306,18,0.00418021365536461,0.580645161290323,"GO:0006563","GO:BP","L-serine metabolic process",15896,2166
"query_1",TRUE,0.0229305482288633,114,4306,48,0.0111472364143056,0.421052631578947,"GO:0046496","GO:BP","nicotinamide nucleotide metabolic process",15896,11365
"query_1",TRUE,0.0229305482288633,111,4306,47,0.0109150023223409,0.423423423423423,"GO:0048580","GO:BP","regulation of post-embryonic development",15896,12002
"query_1",TRUE,0.0237897724169236,47,4306,24,0.00557361820715281,0.51063829787234,"GO:0034599","GO:BP","cellular response to oxidative stress",15896,8109
"query_1",TRUE,0.0237897724169236,147,4306,59,0.0137018114259173,0.401360544217687,"GO:0008299","GO:BP","isoprenoid biosynthetic process",15896,3019
"query_1",TRUE,0.0237897724169236,246,4306,91,0.0211333023687877,0.369918699186992,"GO:0042592","GO:BP","homeostatic process",15896,9598
"query_1",TRUE,0.0247690565351539,169,4306,66,0.0153274500696702,0.390532544378698,"GO:0009737","GO:BP","response to abscisic acid",15896,3474
"query_1",TRUE,0.0247690565351539,83,4306,37,0.00859266140269392,0.44578313253012,"GO:0003333","GO:BP","amino acid transmembrane transport",15896,1683
"query_1",TRUE,0.0247690565351539,20,4306,13,0.00301904319554111,0.65,"GO:0006714","GO:BP","sesquiterpenoid metabolic process",15896,2297
"query_1",TRUE,0.0247690565351539,106,4306,45,0.0104505341384115,0.424528301886792,"GO:0044272","GO:BP","sulfur compound biosynthetic process",15896,10242
"query_1",TRUE,0.0283920138916445,270,4306,98,0.0227589410125406,0.362962962962963,"GO:0006790","GO:BP","sulfur compound metabolic process",15896,2348
"query_1",TRUE,0.0285174805606618,229,4306,85,0.0197398978169995,0.37117903930131,"GO:0170033","GO:BP","L-amino acid metabolic process",15896,19042
"query_1",TRUE,0.0311970765007966,35,4306,19,0.00441244774732931,0.542857142857143,"GO:0015995","GO:BP","chlorophyll biosynthetic process",15896,4825
"query_1",TRUE,0.0317996010441138,2294,4306,686,0.159312587087784,0.299040976460331,"GO:0006793","GO:BP","phosphorus metabolic process",15896,2351
"query_1",TRUE,0.0325689634644183,174,4306,67,0.0155596841616349,0.385057471264368,"GO:0097305","GO:BP","response to alcohol",15896,17363
"query_1",TRUE,0.0326723807524685,2292,4306,685,0.15908035299582,0.298865619546248,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",15896,2354
"query_1",TRUE,0.0326723807524685,73,4306,33,0.00766372503483511,0.452054794520548,"GO:0170040","GO:BP","proteinogenic amino acid catabolic process",15896,19049
"query_1",TRUE,0.0335012735800378,12,4306,9,0.0020901068276823,0.75,"GO:0006801","GO:BP","superoxide metabolic process",15896,2358
"query_1",TRUE,0.0335012735800378,10,4306,8,0.0018578727357176,0.8,"GO:0009785","GO:BP","blue light signaling pathway",15896,3512
"query_1",TRUE,0.0335012735800378,12,4306,9,0.0020901068276823,0.75,"GO:0043467","GO:BP","regulation of generation of precursor metabolites and energy",15896,10038
"query_1",TRUE,0.0335012735800378,12,4306,9,0.0020901068276823,0.75,"GO:0042548","GO:BP","regulation of photosynthesis, light reaction",15896,9585
"query_1",TRUE,0.0335012735800378,62,4306,29,0.00673478866697631,0.467741935483871,"GO:0033013","GO:BP","tetrapyrrole metabolic process",15896,7463
"query_1",TRUE,0.0335012735800378,10,4306,8,0.0018578727357176,0.8,"GO:0030522","GO:BP","intracellular receptor signaling pathway",15896,6392
"query_1",TRUE,0.0350554116454322,439,4306,149,0.0346028797027404,0.339407744874715,"GO:0006091","GO:BP","generation of precursor metabolites and energy",15896,1853
"query_1",TRUE,0.0357690130028276,251,4306,91,0.0211333023687877,0.362549800796813,"GO:1901605","GO:BP","alpha-amino acid metabolic process",15896,20183
"query_1",TRUE,0.0357690130028276,216,4306,80,0.018578727357176,0.37037037037037,"GO:0048878","GO:BP","chemical homeostasis",15896,12266
"query_1",TRUE,0.0357690130028276,94,4306,40,0.00928936367858802,0.425531914893617,"GO:0006865","GO:BP","amino acid transport",15896,2398
"query_1",TRUE,0.0362870120880956,142,4306,56,0.0130051091500232,0.394366197183099,"GO:0051239","GO:BP","regulation of multicellular organismal process",15896,12691
