"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os11g0454200",23497.2895783431,9.91682177695381,0.211915298473129,46.7961579385986,0,0
"Os11g0454300",29375.9562871813,10.1958139462426,0.189083654144672,53.9222387697331,0,0
"Os08g0442900",5246.37380230483,8.98200773989359,0.220707626286122,40.6964085973606,0,0
"Os01g0179800",6837.80607791278,-5.31731632871275,0.144887084943032,-36.6997260715366,7.37690251826837e-295,4.56943784237838e-291
"Os07g0209100",14633.5505527866,6.71562919265867,0.183050411574225,36.6873209128817,1.16334014127417e-294,5.76481573607001e-291
"Os12g0105300",9594.35949774714,-4.08533134941211,0.114933150639648,-35.5452828594329,9.82681877935757e-277,4.05798481493571e-273
"Os05g0373900",2167.63787682115,5.99380986975044,0.168991141024881,35.4681898317259,1.5211013937496e-275,5.38404703327626e-272
"Os01g0556650",5434.16089367198,-4.67863388497677,0.136747873420787,-34.21357691304,1.51906473853482e-256,4.70473337833466e-253
"Os03g0290300",6368.2256250164,-6.72414387748467,0.207958804435633,-32.3340187290118,2.32736623637033e-229,6.40723924872751e-226
"Os06g0681200",4044.97853996865,8.51018675046668,0.264460983212531,32.1793659204072,3.43130417294369e-227,8.50174234930258e-224
"Os08g0157600",15489.252716356,-6.77172123109993,0.211086551195383,-32.0803063613086,8.29953827069954e-226,1.86943327030111e-222
"Os09g0553900",14019.3124771018,-5.14802090263801,0.161949504018541,-31.7878151824944,9.5394134586679e-222,1.96965039387845e-218
"Os01g0666600",2369.49020670994,-5.56776377089197,0.177843862056858,-31.307033633311,3.74329301886902e-215,7.13442854834751e-212
"Os06g0246500",2190.30511820572,5.09848813438317,0.164476039556786,30.9983639448158,5.67123674965124e-211,1.00368737818649e-207
"Os02g0829850",4176.44670920753,-6.41959031282407,0.208555876519728,-30.7811528495425,4.68453835004612e-208,7.73792044660619e-205
"Os06g0157700",1287.5974352309,-7.68997242970834,0.25184160172361,-30.5349568025219,8.95683953151229e-205,1.38702258170175e-201
"Os12g0169400",8869.02950774864,-3.15634088350414,0.103417548133596,-30.5203608136865,1.39918624052235e-204,2.03927279302484e-201
"Os03g0723400",2174.29394912696,8.3658086648929,0.275254045128607,30.3930453083229,6.78753277588851e-203,9.34303886601054e-200
"Os05g0405000",13452.8985392097,-3.70258438178876,0.122497439055223,-30.2258105177171,1.0850528713979e-200,1.41496605234872e-197
"Os12g0189300",15981.9730844691,-9.39245977347691,0.312739313013259,-30.0328720523815,3.65449187652912e-198,4.5273672612381e-195
"Os01g0733200",1823.0179772322,8.45817809534337,0.283468925900087,29.8381138902138,1.25216604636142e-195,1.47737705384271e-192
