"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Description","GeneSymbol","Synonym"
"Os01g0101200",2051.07959338975,-1.99030392908941,0.296250015029774,-6.71832515819241,1.83825135468201e-11,1.19764275085344e-10,"","Os01g0101200",""
"Os01g0101600",3012.30450509314,-1.03911974951115,0.113138133431374,-9.18452265381807,4.13356540656993e-20,5.03526794879956e-19,"","Os01g0101600",""
"Os01g0101700",1790.7633792757,-3.35508042570802,0.206008376789576,-16.2861359231766,1.23808766981703e-59,7.63087019777528e-58,"","OsDjC1",""
"Os01g0101800",2.10187726909084,-4.81494983956818,1.63501527739048,-2.94489593225877,0.00323063305256134,0.0074745910116082,"","Os01g0101800",""
"Os01g0102300",1907.03398949901,-1.65254239885316,0.271989427495842,-6.07575968694012,1.23402098030166e-09,6.77945406406524e-09,"","OsTLP27",""
"Os01g0102400",33.0989184977477,-1.48964497117198,0.597252022270189,-2.49416480083191,0.0126253910856636,0.0256472341501588,"","OsHAP5H",""
"Os01g0102600",4024.92671496512,-1.683400275514,0.191008428584079,-8.81322509165085,1.21596056842532e-18,1.35588906408075e-17,"","OsSK4",""
"Os01g0103400",27.142722087445,-2.5927484427313,0.57728275013539,-4.49129727524896,7.07906619899329e-06,2.53722006672149e-05,"","Os01g0103400",""
"Os01g0104400",5564.45069158991,-1.14965460886475,0.164276198180946,-6.99830298969077,2.59081337948694e-12,1.82003354418905e-11,"","Os01g0104400",""
"Os01g0104600",1412.38084225022,-1.18265346390972,0.136370049824308,-8.67238418870851,4.23165086279294e-18,4.58250058686279e-17,"","OsDET1",""
"Os01g0106400",226.203162335753,-1.13179885351218,0.30122090148895,-3.75737157653284,0.000171707437258619,0.000502586553214033,"","Os01g0106400",""
"Os01g0106900",9429.95864002982,-2.19861198636318,0.131777454652115,-16.6842802675722,1.7054904402748e-62,1.16090485271123e-60,"","OsDXR",""
"Os01g0108400",230.282019566763,-2.18086303336587,0.458222210151584,-4.75940053766582,1.94168778713593e-06,7.47850121278827e-06,"","Os01g0108400",""
"Os01g0108600",738.893957492341,-2.7966946682069,0.250314996373074,-11.1727012313663,5.54679354895254e-29,1.08129743322106e-27,"","P0482C06.23-1",""
"Os01g0108800",44.4391512544229,-4.12837955412406,0.42018554918763,-9.82513454378835,8.77567690828206e-23,1.2270595189419e-21,"","Os01g0108800",""
"Os01g0109000",305.777599187181,-2.25800586894491,0.287541865386803,-7.85278994384843,4.06882825143966e-15,3.5497661121803e-14,"","Os01g0109000",""
"Os01g0110050",9.68044403675473,-2.10592413923062,0.752949255500014,-2.79690048678265,0.00515954221476542,0.0114202231065966,"","Pho1",""
"Os01g0110100",171.649715265938,-3.11088391245195,0.27156237595993,-11.455504104556,2.20675623726025e-30,4.57929642299808e-29,"","Pho1",""
"Os01g0110700",71.4865040831068,-3.39170184625427,0.424772605083981,-7.98474714626124,1.40810636618114e-15,1.27191583794641e-14,"","Osppc-b",""
"Os01g0111300",8.96655657383804,-2.20156293488962,0.722978534534321,-3.04512904564681,0.00232580493159513,0.00553249508353806,"","Os01g0111300",""
"Os01g0111700",29.0915437931112,-6.5814786902099,1.03758841132536,-6.34305339031597,2.25255321494192e-10,1.33074656668136e-09,"","Os01g0111700",""
"Os01g0111900",131.293431902073,-1.10509165975037,0.293610673481884,-3.76379934232383,0.00016735118522276,0.00049064729810251,"","SIP34",""
"Os01g0112400",5.46753419727673,-3.04256598598041,0.957978070021038,-3.17602884783531,0.00149306103007512,0.00369676957551427,"","OsNIP4",""
"Os01g0113000",5.33148997547748,-3.24765583142171,1.02007154924783,-3.18375297675582,0.00145379017960117,0.00360891286243644,"","Os01g0113000",""
"Os01g0113350",17.7215810525495,-3.52697775840185,0.574137461872802,-6.14308940388084,8.09316995089004e-10,4.52753379709195e-09,"","Os01g0113350",""
"Os01g0113900",42.4588026255768,-2.65216440210676,0.36165147477828,-7.33348150656026,2.24249439130626e-13,1.71594451925247e-12,"","Os01g0113900",""
"Os01g0114200",25.1484349443257,-1.76924426378331,0.434209586385632,-4.07463197326096,4.60871718855359e-05,0.000146981832643573,"","Os01g0114200",""
"Os01g0114300",1556.12250943186,-2.07218087869446,0.246016584469715,-8.42293166194879,3.6717866291184e-17,3.72851874219945e-16,"","OsRLCK6",""
"Os01g0114550",52.4948637943942,-2.65666791096605,0.386263930805922,-6.87785656150455,6.07598014390941e-12,4.13356836973211e-11,"","Os01g0114550",""
"Os01g0114700",27.8267687616923,-2.0230860481775,0.380157020318139,-5.32171166136682,1.02795414262927e-07,4.6174075039749e-07,"","Os01g0114700",""
"Os01g0114800",24.7940207983593,-1.55468816343613,0.408210723684898,-3.80854316957192,0.000139787944006486,0.000415091789147736,"","Os01g0114800",""
"Os01g0115100",136.000580698587,-2.21514017026469,0.24746329021088,-8.95138898531987,3.51037026302352e-19,4.05106865425868e-18,"","Os01g0115100",""
"Os01g0115600",1142.73934665315,-1.87576985964128,0.165920694901368,-11.3052194047062,1.23644725117867e-29,2.48462721349991e-28,"","OsRLCK11",""
"Os01g0115700",65.8879584867607,-4.78212850103519,0.386845259414276,-12.3618640390626,4.20296113543569e-35,1.08137869213593e-33,"","Os01g0115700",""
"Os01g0115725",5.09775785813029,-6.10328780639543,1.26594054782556,-4.82114884216225,1.42733804480435e-06,5.58956136180139e-06,"","Os01g0115725",""
"Os01g0115900",139.277144879503,-1.83611853180243,0.3083615135662,-5.95443481440899,2.60972118212642e-09,1.39145818225836e-08,"","Os01g0115900",""
"Os01g0116400",3.82076684036504,-4.18017964635105,1.34043416723804,-3.11852663004279,0.00181757716134911,0.00443161870957951,"","Os01g0116400",""
"Os01g0116900",117.98684590769,-2.20809055042573,0.27041640429909,-8.16551997335006,3.20053575361639e-16,3.044133373027e-15,"","Os01g0116900",""
"Os01g0118400",66.8808271368219,-2.1729980233328,0.47060916705491,-4.61741541698285,3.88548968721155e-06,1.44182683810155e-05,"","Os01g0118400",""
"Os01g0119000",4.94330123551021,-1.94751688853187,0.856075466871247,-2.27493598858706,0.0229097700549131,0.0436005355749736,"","Os01g0119000",""
"Os01g0119100",18.7190303933485,-1.88687959909262,0.692154697911264,-2.72609519921877,0.00640885107952402,0.0138839053697194,"","Os01g0119100",""
"Os01g0120500",3640.10316843347,-2.33161525427956,0.166266534328561,-14.0233587215575,1.1217740711292e-44,4.07539533143229e-43,"","Os01g0120500",""
"Os01g0121500",16.5742117815143,-1.98488613712773,0.725308157749866,-2.73661079903675,0.00620756867093122,0.0134975804264733,"","Os01g0121500",""
"Os01g0121950",2.32418994867546,-3.41093761706787,1.46433628696836,-2.32934036219889,0.0198410417391756,0.0383938583413474,"","Os01g0121950",""
"Os01g0122000",164.465393886355,-1.21148503032422,0.393980878361039,-3.07498433772724,0.00210513608259676,0.00506397638043688,"","OsPR5",""
"Os01g0126100",4.09616533071913,-4.29281960158077,1.31707850983058,-3.25934981820709,0.00111667884623357,0.00284036051464214,"multicopper oxidase LPR1 homolog 1-like [Source:NCBI gene (formerly Entrezgene);Acc:4326010]","OsLPR1",""
"Os01g0126200",1111.94918170723,-3.09009926209973,0.181223681956345,-17.051299414853,3.41848365555291e-65,2.51334627696245e-63,"multicopper oxidase LPR1 homolog 2-like [Source:NCBI gene (formerly Entrezgene);Acc:4326011]","OsLPR2",""
"Os01g0126401",21.1602756276405,-4.86417621732433,0.678344379577137,-7.17065898055577,7.4637614282275e-13,5.47452980779138e-12,"","Os01g0126401",""
"Os01g0130200",212.650078105064,-4.4274154586675,0.280585360134986,-15.7792104924417,4.32564780363148e-56,2.38700613876564e-54,"","NRR",""
"Os01g0135900",1631.99623477132,-1.64265130901482,0.191826402950152,-8.56321801249477,1.09760107357132e-17,1.15234160168968e-16,"","Oshsp17.9B.",""
"Os01g0136300",32.6174871424753,-1.83907604625753,0.362776134349022,-5.06945157668002,3.98963622566518e-07,1.67658101701672e-06,"","Os01g0136300",""
"Os01g0138800",47.9707624930139,-3.51586248548354,0.50565980276087,-6.95301953267226,3.57549160617713e-12,2.48081645270934e-11,"","Os01g0138800",""
"Os01g0141000",5.2015377934089,-6.14297346336681,1.25816205997079,-4.88249777895021,1.04750419588585e-06,4.16998898802438e-06,"","AP2/EREBP129",""
"Os01g0142300",886.8714864866,-2.66965874411014,0.180051988037105,-14.8271550523506,9.77904133129228e-50,4.22117259695869e-48,"","SQD2.2",""
"Os01g0143100",515.647520824582,-1.04632355966401,0.141622656805212,-7.3881085362148,1.48932155298259e-13,1.15604386335369e-12,"","Os01g0143100",""
"Os01g0144300",6.90598120028043,-2.23548189091083,0.794476295625129,-2.81378047805927,0.00489626517876313,0.0109066584854998,"","Os01g0144300",""
"Os01g0144800",10.237098022659,-2.79284229372857,0.830988217145836,-3.36086870560095,0.000776977502585717,0.00203651450138224,"","Os01g0144800",""
"Os01g0150000",1814.58403115319,-1.20741053499797,0.110381499308131,-10.9385226923533,7.54187902915046e-28,1.37199072470823e-26,"","CER10",""
"Os01g0151200",13969.5298138136,-1.5210720490802,0.151531219243472,-10.038011022905,1.03744888452181e-23,1.51294120140064e-22,"","P0009G03.18-1",""
"Os01g0151700",517.235590825246,-3.1173985410996,0.164154662311252,-18.9906183425283,2.03913281766789e-80,2.11395790055889e-78,"","Os01g0151700",""
"Os01g0151750",6.00325134328115,-2.14249139040453,0.819514444216898,-2.61434243840794,0.0089399384122682,0.0187445513564408,"","Os01g0151750",""
"Os01g0152000",7.39767367518119,-4.12225915781315,1.02030698439458,-4.04021458331894,5.340231849275e-05,0.000168554043986607,"","Os01g0152000",""
"Os01g0154500",4.22618410168021,-4.33489532719474,1.33851725872469,-3.23858007727515,0.00120126293926092,0.00303541070624432,"","Os01g0154500",""
"Os01g0154600",55.5403612021403,-4.52120405807386,0.418068783062761,-10.8144980951499,2.93896967314483e-27,5.19022463232427e-26,"","Os01g0154600",""
"Os01g0154950",4.99039288658611,-6.07128432735801,1.31073471724018,-4.63197033503578,3.6220206102354e-06,1.34829934885521e-05,"","Os01g0154950",""
"Os01g0155000",13.3991089652099,-5.02123828403281,0.920772461803631,-5.45328894197931,4.94466258877723e-08,2.29814115479522e-07,"","Hsr203j",""
"Os01g0155200",32.3668096144166,-2.58556813890389,0.409673842021746,-6.31128442603042,2.76729071165181e-10,1.61901208884526e-09,"","Os01g0155200",""
"Os01g0158400",275.944804030163,-1.51548585928791,0.265967941465149,-5.69800198828283,1.21219638106198e-08,6.00932167538471e-08,"","Os01g0158400",""
"Os01g0159500",248.378026579757,-10.2688716884938,1.04671906502307,-9.81053277009674,1.01431600545125e-22,1.41268733373051e-21,"","Os01g0159500",""
"Os01g0161000",20.9509407715709,-6.68530858489714,1.12747674479719,-5.92944255014295,3.03964836038739e-09,1.60754252775493e-08,"","Os01g0161000",""
"Os01g0161300",248.584071237456,-1.24825015929615,0.253426476712207,-4.92549229855599,8.41482251741412e-07,3.39235368555109e-06,"","Os01g0161300",""
"Os01g0164600",1827.03747766458,-2.86421437705547,0.138870184141183,-20.6251211861543,1.63321181342555e-94,2.3944431420855e-92,"","OsPP2C01",""
"Os01g0164800",36.9300020497755,-1.30808247344384,0.351611467333439,-3.72024974999851,0.000199025865380778,0.000575947660189155,"","Os01g0164800",""
"Os01g0166500",2.5926858935675,-3.57709089640966,1.49020024289013,-2.40040955131786,0.0163767374430472,0.0323062439192978,"","P0028E10.1",""
"Os01g0167100",270.412429137798,-1.40643620594603,0.239981829409843,-5.86059456836669,4.61212787428913e-09,2.38668948081165e-08,"","Os01g0167100",""
